"id","name","create_time","update_time"
"1","北京","29/12/2024 17:41:48","29/12/2024 17:41:48"
"2","上海","29/12/2024 17:41:48","29/12/2024 17:41:48"
"3","广州","29/12/2024 17:41:48","29/12/2024 17:41:48"
"4","天津","29/12/2024 17:41:48","29/12/2024 17:41:48"
"5","郑州","29/12/2024 17:41:48","29/12/2024 17:41:48"
"6","株洲","29/12/2024 17:41:48","29/12/2024 17:41:48"
"7","南昌","29/12/2024 17:41:48","29/12/2024 17:41:48"
"8","重庆","29/12/2024 17:41:48","29/12/2024 17:41:48"
"9","贵阳","29/12/2024 17:41:48","29/12/2024 17:41:48"
"10","兰州","29/12/2024 17:41:48","29/12/2024 17:41:48"
"11","西宁","29/12/2024 17:41:48","29/12/2024 17:41:48"
"12","西安","29/12/2024 17:41:48","29/12/2024 17:41:48"
"124","石家庄","30/12/2024 16:47:12","30/12/2024 16:47:12"
"125","济南","30/12/2024 16:47:16","30/12/2024 16:47:16"
